"BehaviorSpace results (NetLogo 6.2.0)"
"EvolvingGamePlayers.nlogo"
"experiment-Amadae-EmptyMemory-XY"
"08/02/2021 19:22:50:088 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-1","22","-1","22"
"[run number]","Game","Rounds","Population-Size","Perc-Group2","Opponents-Include-Own-Group?","Playing-Strategy","Initial-Populations","Initial-X","Initial-Y","Memory-Initialization","Memory-Initial-Weight-1","Memory-Initial-Weight-2","Memory-Length-1","Memory-Length-2","Unlimited-Memory?","Playing-Noise","Replicate?","Replication-Noise","Speed-1","Speed-2","Delta","Value","Value-As-Perc-Of-Cost","Punishment","Reward","Sucker","Temptation","k","My-Preference","Your-Preference","Draw-X-And-Y-Axes?","Reposition-Populations","Population-Pen-Down?","Recolor-Populations?","Calculate-Dominance?","Print-Out-Match-Results?","Seed-Setup","Seed-Go","[step]","timer","prev-seed-setup","prev-seed-go","count populations","num-pops-g1-dominant","num-pops-g2-dominant","num-pops-none-dominant","num-pops-g1-hawkish","num-pops-g2-hawkish","num-pops-none-hawkish","num-pops-with-group1-dom","num-pops-with-group2-dom","num-pops-with-groups-equal","Cost","msne","msne-payoff","group1-payoff","group2-payoff"
"59","Hawk-Dove","2000","200","50","true","Play-Initial-X-Y","100 at Initial-X/Y","60","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","81","899.209","1331703641","-720959713","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","7.281000000000003","2.2190000000000007"
"58","Hawk-Dove","2000","200","40","true","Play-Initial-X-Y","100 at Initial-X/Y","60","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","106","903.165","1768513261","1114357632","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","6.792916666666668","1.848125"
"60","Hawk-Dove","2000","200","60","true","Play-Initial-X-Y","100 at Initial-X/Y","60","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","79","915.745","118348191","1034359632","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","7.734375","2.760416666666666"
"57","Hawk-Dove","2000","200","30","true","Play-Initial-X-Y","100 at Initial-X/Y","60","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","147","918.129","961706796","1935859516","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","6.114642857142858","1.3158333333333336"
"56","Hawk-Dove","2000","200","20","true","Play-Initial-X-Y","100 at Initial-X/Y","60","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","150","921.023","902702968","-1767181522","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","5.5634375","0.99625"
"27","Hawk-Dove","2000","200","90","true","Play-Initial-X-Y","100 at Initial-X/Y","20","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","909","927.716","855295751","1950948771","100","58","42","0","58","42","0","58","42","0","100","0.1","4.5","5.645","4.472777777777778"
"61","Hawk-Dove","2000","200","70","true","Play-Initial-X-Y","100 at Initial-X/Y","60","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","74","941.602","213002190","30518674","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","8.440833333333329","3.1039285714285705"
"62","Hawk-Dove","2000","200","80","true","Play-Initial-X-Y","100 at Initial-X/Y","60","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","103","958.854","-1398705831","879786165","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","9.01","3.65375"
"35","Hawk-Dove","2000","200","80","true","Play-Initial-X-Y","100 at Initial-X/Y","30","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","690","962.713","1327538937","2018965540","100","94","6","0","94","6","0","94","6","0","100","0.1","4.5","8.48625","3.7596875"
"55","Hawk-Dove","2000","200","10","true","Play-Initial-X-Y","100 at Initial-X/Y","60","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","311","971.072","66286981","-466427768","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","5.051666666666668","0.535"
